qid,query,original_query
1,measurement of dielectric constant liquids by the use microwave techniques properties using methods determination liquid via spectroscopy microwave assisted permittivity evaluation behavior radiation quantification through resonance,measurement of dielectric constant of liquids by the use of microwave techniques
2,mathematical analysis and design details of waveguide fed microwave radiations characteristics radiation systems waveguides propagation optimization principles for antennas,mathematical analysis and design details of waveguide fed microwave radiations
3,use of digital computers in the design band pass filters having given phase and attenuation characteristics implementation for band pass applications with specified requirements utilization signal processing techniques filter specifications application computer based methods to synthesis constraints computer aided properties,use of digital computers in the design of band pass filters having given phase and attenuation characteristics
4,systems of data coding for information transfer encoding schemes protocols transmission representation methods digital,systems of data coding for information transfer
5,use of programs in engineering testing computers application software computer systems using tools simulation applications,use of programs in engineering testing of computers
6,number representation in binary machines numeral system machine of numbers encoding systems digit representations digital,number representation in binary machines
7,secondary emission of electrons by positive ion bombardment the cathode bombardment induced electron from impact at sputtering electronic upon strike leading to ejection,secondary emission of electrons by positive ion bombardment of the cathode
8,measurement of plasma temperatures in arc discharge using shock wave techniques discharges employing methods quantification high energy environments determination thermal properties shock induced arcs analysis high pressure evaluation characteristics wave generated plasmas,measurement of plasma temperatures in arc discharge using shock wave techniques
9,characteristics of the single electrode discharge in rare gases at low pressures properties discharges reduced low pressure behavior pressure phenomena under,characteristics of the single electrode discharge in the rare gases at low pressures
10,methods of calculating instantaneous power dissipation in reactive circuits loss ac energy systems consumption inductive and capacitive loads due to impedance circuit components,methods of calculating instantaneous power dissipation in reactive circuits
11,the effect of oxidation on circuit breaker contacts corrosion impact influence switchgear degradation due to chemical reactions corrosive effects components,the effect of oxidation on circuit breaker contacts
12,temperature independent methods for tuning highly stable high frequency oscillators without dependence stabilization techniques insensitive to variations oscillator thermal sensitivity temperature insensitive fine tuning stability enhancement unaffected by,temperature independent methods for tuning highly stable high frequency oscillators
13,mathematical expressions and graphs for the design of transistorised tuned pass band amplifiers formulations visualizations optimization transistor based band pass analysis electronic circuits using models graphical representations passband amplifier transistorized modeling simulation expression circuit behavior,mathematical expressions and graphs for the design of transistorised tuned pass band amplifiers
14,synthesis of filters having high attenuation characteristics using a block diagram approach design and implementation development filter techniques methodology for structures,synthesis of filters having high attenuation characteristics using a block diagram approach
15,voltage current relationships in networks of nonlinear elements connected parallel between and components voltage current interactions circuits with behavior systems elements dynamics configurations devices,voltage current relationships in networks of nonlinear elements connected in parallel
16,methods of approximating the frequency phase relationships for resistive inductive and capacitive circuits in rlc response modeling techniques phasor analysis reactive shifts circuit,methods of approximating the frequency phase relationships for resistive inductive and resistive capacitive circuits
17,observations of rapid fluctuations in the earths magnetic field and their relation to propagation hydromagnetic waves exosphere measurements geomagnetic variations connection wave upper atmosphere oscillations link exospheric studies changes relationship anomalies earth s correlation with interaction,observations of rapid fluctuations in the earths magnetic field and their relation to the propagation of hydromagnetic waves in the exosphere
18,diurnal variations of fluctuations in the earths magnetic field changes earth s over time daily with a diel pattern oscillations cycle seasonal and,diurnal variations of fluctuations in the earths magnetic field
19,spherical harmonic analysis of the earths magnetic field topography earth s spatial representation geophysical modeling magnetohydrodynamic study,spherical harmonic analysis of the earths magnetic field
20,derivation of the components electrical conductivity in upper atmosphere origin and breakdown atmospheric mechanisms influencing properties atmosphere a review factors affecting ionospheric conductivity scientific analysis,derivation of the components of the electrical conductivity in the upper atmosphere
21,the effects of solar flares on absorption cosmic radio noise in ionosphere impact ionospheric signals activity flare induced waves affected by flare high frequency,the effects of solar flares on the absorption of cosmic radio noise in the ionosphere
